,HELBIDEA/DIRECCION
798,LUGAR BARRIO ESPARTA 5B (48142)
799,"SAN MARTIN, 7"
800,UGARTE AUZOA 11 (48142)
801,POLÍGONO INDUSTRIAL 
802,BITERI 1
803,POLÍGONO INDUSTRIAL
804,NAFARROLA GOIKOA
805,UGARTE AUZOA 27A (48142)
806,LUGAR BARRIO ELEJABEITIA 6B (48142)
807,SANTA CRUZ AUZOA 24  
808,LUGAR BARRIO EL ESKANDAL 40A  
809,BARRIO EL RISKERO 66
810,"Bº LAS LLANAS, 33"
811,BARRIO SANTA MARIA
812,"GÓRGOLAS, 9"
813,"BARRIO SAN MIGUEL DE LINARES,24"
814,BARRIO TRASLOSHEROS 13
815,Bº LAS LLANAS Nº 33
816,EL PESO 24
817,Bº TRASLOSHEROS Nº1
818,BARRIO EL PESO 16
819,BARRIO LOS COTARROS 79 BIS
820,BARRIO LA RENEJA
821,CRUCE TRASLAVIÑA-SAN MIGUEL
822,EL ARCO
823,BARRIO EL ARCO
824,BARRIO EL RISKERO Nº 68
825,BARRIO SANTA CRUZ 12
826,"LEHENDAKARI AGIRRE, 1"
827,BARRIO LA PARAYA S/N
828,BARRIO LOS COTARROS Nº 77
829,BARRIO EL RISKERO Nº 68
830,BARRIO SANTA CRUZ
831,"BARRIO SAN MIGUEL, 12-A"
832,"BARRIO LA RENEJA, 42"
833,TRASLOSHEROS
834,LAS CAMPIZAS AUZOA 30
835,"Bº LAS CAMPIZAS , 30"
836,REGOMEDO AUZOA
837,LA CABAREDA AUZOA
838,BARRIO LA PARAYA 52
839,BARRIO LA PARAYA 52
840,LA HERBOSA AUZOA
841,"Bº HOCASITAS,71"
842,LA HERBOSA AUZOA
843,SAN MIGUEL 14 BIS
844,Bº SANTA CRUZ 4 BIS
845,ESKANDAL DE ABAJO
846,"SANTA CRUZ, 5"
847,SANTA CRUZ 28 BIS
848,SAN MIGUEL Nº26
849,"LA TOBA AUZOA, 52"
850,BARRIO TUETXE
851,BARRIO REBOLLAR
852,SAN MIGUEL Nº 4
853,Bº SOMARRIBA
854,SAN MIGUEL DE LINARES AUZOA 14
855,SAN MIGUEL DE LINARES 10-B
856,BO TRASLOSHEROS 1
857,BO LA PARAYA 56
858,PLAZA FUEROS 2
859,   
860,   
861,SAN PEDRO 5 
862,CARRETERA ARRAZOLA 19
863,BARRENKALE 5 ARRAZOLA
864,SAN JUAN 36
865,"CARRETERA ARRAZOLA 2, BAJO"
866,GOERRIA  4
867,BARRIO LA ESTACIÓN 2  
868,GOYERRIA AUZOA 3  
869,ANBOTO KALEA 26  
870,LUGAR BARRIO GOYERRIA 4A  
871,ELIZONDO PLAZA 2  
872,OLAZABAL AUZOA 3
873,JAUREGI 8
874,ARRANTURRIAGA 7
875,SAN PEDRO
876,SAN PEDRO 4
877,ARRANTURRIAGA 7
878,BARRENKALE 13
879,OLAZABAL 6 KOROSTA BASERRIA
880,SAN JUAN 47
881,SANTIAGO AUZOA 13-A
882,GOIERRIA 2-A
883,SAN JUAN  12
884,ARTIA POLIGONOA
885,JOSE ANTONIO AGIRRE 4
886,SAN JUAN 33
887,SAN JUAN 9
888,SAN PEDRO 3
889,Bº SAN JUAN 28
890,SAN JUAN 9 ELIZABURU BASERRIA
891,OLAZABAL 7
892,SAN PEDRO 12
893,SAN  PEDRO 7 (KAPELA BASERRIAREN AZPIKO TXABOLAN
894,"JOSE ANTONIO 9, 2-A"
895,ARRANTURRIAGA 6
896,SAN PEDRO 7
897,JAUREGUI KALEA 1A (48291)
898,JAUREGUI KALEA 1 (48291)
899,-48291
900,-48291
901,CL JAUREGUI 5
902,GOIERRI AUZOA 2
903,IBARROLA AUZOA 24 - GALANTENA 
904,IBARROLA AUZOA 27
905,GOIERRI AUZOA 5
906,ALEGI KALEA
907,SAN ANTON AUZOA 9
908,ALEGI KALEA
909,SOLAGUREN AUZOA 15
910,NAREA AUZOA 17
911,"AULESTITIK MARKINARAKO BIDEAN, IBARROLA AUZOAN"
912,GOIERRI AUZOA 5
913,ARRIZURIETA
914,ELEIZKALE
915,IBARROLA AUZOA 2
916,AULESTI-MARKINA ERREPIDE ALBOAN
917,IBETATIK AMULUARA BITARTEAN
918,ZUBERO AUZOA 
919,GARAUR AUZOA 
920,GARAUR AUZOA 
921,IBARROLA AUZOA
922,SOLAGUREN AUZOA 9
923,SAN ANTON AUZOA 13
924,SOLAGUREN AUZOA 12
925,SAN ANTON AUZOA 6
926,GERNIKA IBILBIDEA 
927,ETXEBIZKERRE
928,IBARROLA AUZOA 12
929,AULESTIA 46
930,URRIOLA AUZOA  3
931,SOLAGUREN AUZOA
932,SOLAGUREN AUZOA
933,SOLAGUREN AUZOA
934,SOLAGUREN AUZOA 6
935,AULESTIA KALEA 33
936,MIETA KALEA 6 3D
937,ALDATSA 12
938,BARRIO BASIGO 2  
939,ZUBIAURREALDE AUZOA 18  
940,BARRIO ZUBIAURREALDE 35A  
941,GIBELORRATZAGAKO SAN PELAIO AUZOA 79  
942,   
943,BENTALDE AUZOA 26  
944,KALEA SAN PELAIOKO BIDE NAGUSIA 63A  
945,KALEA ALBOBIDE 17B  
946,GIBELORRATZAGAKO SAN PELAIO AUZOA 61 
947,URKITZAURREALDE AUZOA 7  
948,ZUBIAURREALDE AUZOA 8 (48130)
949,ZUBIAURREALDE 1
950,ELEXALDE 5
951,GIBELORRATZAGAKO SAN PELAIO AUZOA 80 (48130)
952,"ERRENTERIAKO BIDEA, 3"
953,ERREMENTERIA 31
954,ARTZALDE AUZOA 6 (48130)
955,"SAN PELAIOKO BIDE NAGUSIA 66, 3ºA"
956,BARRIO ZUBIAURREALDE 32A  
957,BENTALDE AUZOA 1  
958,ARTZALDE AUZOA 6M  
959,BENTALDE AUZOA 1  
960,   
961,ATXAGAKO BIDEA 24  
962,BIDEA BIRJILANDAKO 1  
963,"BASIGOKO BIDE NAGUSIA, 1"
964,"BASIGOKO BIDE NAGUSIA, 25"
965,"URAGA, Nº 4"
966,"BASIGOKO BIDE NAGUSIA, 126"
967,"BASIGOKO BIDE NAGUSIA, 126"
968,"BASIGOKO BIDE NAGUSIA, 126"
969,KALEA URIBARRIKO BIDEA 4B  
970,BARRIO ZUBIAURREALDE 48  
971,ZUBIAURREALDE AUZOA 30  
972,KALEA ERRENTERIAKO BIDEA 18A  
973,ZUBIAURREALDE AUZOA 8  
974,BARRIO BASIGO 25  
975,BENTALDE AUZOA 11  
976,BARRIO GIBELORRATZAGAKO SAN PELAIO 3A  
977,BARRIO ZUBIAURREALDE 28B  
978,BENTALDE AUZOA 5  
979,BARRIO ZUBIAURREALDE 34A  
980,BARRIO GIBELORRATZAGAKO SAN PELAIO 3B  
981,BARRIO GIBELORRATZAGAKO SAN PELAIO 66B  
982,LUGAR BARRIO URKITZAURREALDE 14B  
983,BENTALDE AUZOA 10  
984,KALEA IBARRATORRE KALEA 12A (48130)
985,KALEA BASIGOKO BIDE NAGUSIA 6A (48130)
986,URKITZAURREALDE AUZOA 1A (48130)
987,BARRIO GOITISOLOALDE 6A (48130)
988,BARRIO BASIGO 6 (48130)
989,GIBELORRATZAGAKO SAN PELAIO 57
990,ERROTABARRIAURRE KALEA 3D 
991,BARRIO ZUBIAURREALDE 6A (48130)
992,KALEA ERROTABIAURRE 3D (48130)
993,BARRIO ZUBIAURREALDE 40A (48130)
994,BARRIO GIBELORRATZAGAKO SAN PELAIO 66B (48130)
995,BARRIO GIBELORRATZAGAKO SAN PELAIO 55A (48130)
996,KALEA ARESTIKO BIDEA 3A (48130)
997,ELEXALDE 10
998,GOITISOLOALDE 5 (PANADIENE BASERRIDXE)
999,KALEA ERRENTERIAKO BIDEA 5A (48130)
1000,URIBARRIKO BIDEA 11
1001,ANBIETAKO GOIENKALE 44 (48130)
1002,ARTZALDE AUZOA 1 (48130)
1003,BASIGOKO BIDE NAGUSIA 21A
1004,KALEA BASIGOKO BIDE NAGUSIA 9B (48130)
1005,POLIGONO ZINTADUIKO JARDUERA GUNEA 5D (48130)
1006,BI-2101  (48130)
1007,CALLE BASIGOKO BIDE NAGUSIA 126 (48130)
1008,BARRIO ZUBIAURREALDE 13A (48130)
1009,CALLE BASIGOKO BIDE NAGUSIA 47 (48130)
1010,BARRIO ELEXALDE 8B (48130)
1011,URKITZAURREALDE AUZOA 71 (48130)
1012,BENTALDE AUZOA 3 (48130)
1013,URKITZAURREALDE AUZOA 7 (48130)
1014,"MIETA KALEA 6, 3IZQ"
1015,BI-2101  (48130)
1016,"ZUBIAURREALDE, 18"
1017,"BASIGOKO BIDE NAGUSIA 19,2ºB"
1018,BARRIO ARTZALDE 16 (48130)
1019,BI-3151 1 (48130)
1020,GIBELORRATZAGAKO SAN PELAIO AUZOA 60 (48130)
1021,GIBELORRATZAGAKO SAN PELAIO AUZOA 60 (48130)
1022,ETXEBARRIALDE 11
1023,IBARRETA 7
1024,ERRENTERIAKO BIDEA 18
1025,"BASIGOKO BIDE NAGUSIA, 41, 4ºIZQ"
1026,BASIGOKO BIDE NAGUSIA 73
1027,"BARRENKALE, 2, 5ºIZQ"
1028,BASIGOKO BIDE NAGUSIA 41 4 IZQ
1029,URKITZAURREALDE AUZOA 9 (48130)
1030,ZUBIAURREALDE 28
1031,KANPOSOLO 6
1032,URRIBARRIKO BIDEA 11
1033,BENTALDE AUZOA 3 (48130)
1034,BARRIO BASIGO 41 (48130)
1035,ATXAGAKO BIDEA 24
1036,BENTALDE AUZOA 6 (48130)
1037,BENTALDE AUZOA 6 (48130)
1038,"AREAGAKO BIDEA 3,3ºIZ"
1039,BARRIO ELEXALDE 5D (48130)
1040,CL ERRENTERIAKO BIDEA 20
1041,LA MAGDALENA IBILBIDEA 36A  
1042,LA CALZADA 56
1043,Bº SAN IGNACIO
1044,CALLE LA CUESTA 1
1045,"PASEO MARTIN MENDIA, 5 - 5º IZQDA"
1046,CAMPO FUTBOL SALINILLAS
1047,AVENIDA LA CALZADA 6
1048,CORRERÍA 22-3º
1049,CALLE EL CUBO 9
1050,PANDOZALES 19A
1051,"CORRERÍA, 38 1º E"
1052,NOCEDAL
1053,LA ESTACION
1054,ENCARTACIONES 50
1055,"EL ARROYO,20"
1056,"VIRGEN DE GRACIA, 20"
1057,KALEA ARROYO 34C  
1058,"PIO BERMEJILLO, 18"
1059,AVDA. ENCARTACIONES 13
1060,LA CUESTA Nº 2
1061,TRAVESIA SAN SEVERINO 2 6E
1062,"CERVANTES, 51"
1063,PASEO LA MAGDALENA 51
1064,PANDOZALES 
1065,"PLAZA SAN SEVERINO, 9"
1066,"LA MAGDALENA 17, 4º C"
1067,NOCEDAL
1068,CL VIRGEN DE GRACIA 8
1069,CALLE AMETZAGA
1070,CALLE 8 DE SEPTIEMBRE 3  
1071,KAREAGA KALEA 107  
1072,ERREKATXU Nº 13
1073,JUNQUERAL 13-PAB. 8
1074,CALLE LAS DELICIAS 6  
1075,"ETXATXU, 41 - 14º A"
1076,ERRIBERA ETORBIDEA 1A  
1077,"LA FAMILIAR, 40"
1078,KALEA ZABALENKANPA 24 
1079,LOPE GARCIA DE SALAZAR
1080,LOS ANGELES Nº7 6ºDCH
1081,"AMETZAGA, 3  "
1082,BARANDIARAN 9
1083,CALLE MUNOA 19  
1084,   
1085,GERNIKAKO ARBOLA 58
1086,PIO BAROJA Nº3 -3ºIZQ
1087,LA RIBERA
1088,ANBIA Nº 32
1089,OLLARTE Nº 2
1090,EL ROSARIO 19
1091,ROSARIO 19
1092,"MAZERREKA, 4"
1093,"CALLE LAS DELICIAS, 16 CASA"
1094,"LA TORRE 21, ATICO A"
1095,CALLE BASATXU
1096,POLIDEPORTIVO GOROSTIZA
1097,MAGALLANES 23
1098,"MAGALLANES, 23"
1099,MAZERREKA
1100,LLANO KALEA 55  
1101,MAGALLANES 23
1102,"EL PORVENIR, 10"
1103,OCHO DE SEPTIEMBRE
1104,IGULIZ
1105,"ZUBILETA, 64"
1106,LA SIEBE
1107,LLANO KALEA 27  
1108,LLANO KALEA 34  
1109,MUNOA  
1110,LAS DELICIAS
1111,CALERO VIEJO
1112,C/ EL ROSARIO 
1113,CIUDAD DEPORTIVA SAN VICENTE
1114,MUNOA S/N
1115,LLANO 24
1116,SAN VICENTE KALEA 15 (48902)
1117,ALDEKO KALEA 6(48903)
1118,KALEA VEGA LA PUNTA 1 (48901)
1119,KALEA ROSARIO 27 (48902)
1120,AMETZAGA KALEA FRENTE NUMERO 13
1121,ARRAGUA Nº36
1122,KALEA RONDA 19H (48520)
1123,C/BALEJO 
1124,C/RETUERTO 43
1125,KALEA MAGALLANES 23002 (48903)
1126,"AMETZAGA KALEA, FRENTE Nº 13"
1127,MAGALLANES
1128,ARANA
1129,LLANO
1130,C/ZUBILETA Nº 12
1131,"SUSUNAGA, 35 3º IZDA"
1132,"ANAITASUNA KALEA, 18"
1133,PLAZA DEL DESIERTO
1134,ZUBITXU Nº 14 BAJO
1135,BI-4743 13 (48903)
1136,KAREAGA 107
1137,KAREAGA 107
1138,CL BIZKAI 87
1139,VICENTE ALEIXANDRE 10 12 C
1140,EUZKO GUDARIAK Nº 26
1141,ELIZATEKO PLAZA 1 (48902)
1142,"GERNIKAKO ARBOLA, 44"
1143,GOROSTIZA AUZUNEA 43 (48903)
1144,SAGASTI 5-4 IZDA
1145,LA SIEBE 14
1146,MENDIA ETXETALDEA 34 (48901)
1147,EL RETIRO
1148,PAIS VALENCIA 2-2 A
1149,JUSTO PEREZ ETXEBARRIA CON SAGARRASTI
1150,"RIO CASTAÑOS, 41, 7º B"
1151,LLANO KALEA 15 (48903)
1152,"BASATXU, 4"
1153,CAMINO ZUBILETA 50
1154,CALLE BUEN PASTOR 63N  
1155,GERNIKAKO ARBOLA
1156,PEÑASKUREN 43
1157,MAGALLANES 23
1158,"MAGALLANES KALEA, 23"
1159,"MAGALLANES KALEA, 23"
1160,"EL PORVENIR 10, BJO UN"
1161,"LAS DELICIAS, 12"
1162,OCHO DE SEPTIEMBRE
1163,ALAMEDA SERRALTA 7D  
1164,"BASATXU, 4"
1165,PEÑASCUREN
1166,URAGA
1167,ZUMALAKARREGI KALEA 30002  
1168,BIZKAIA KALEA 49  
1169,ALDAI Nº 5
1170,ZUBILETA 12
1171,C/ ZUBILETA Nº 72
1172,GOROSTIZA MERENDERO
1173,PARQUE TELLAETXE
1174,LA CONSTANCIA
1175,KALEA LANDETA 12 (48902)
1176,MUNOA 19
1177,CALLE ZABALENCAMPA Nº 9
1178,KAREAGA 107
1179,BUEN PASTOR KALEA 46 (48903)
1180,KALEA ZUMALAKARREGI 11 (48903)
1181,KAREAGA 107 (48903)
1182,KAREAGA 107 (48903)
1183,KALEA ARRAGUA 33A (48903)
1184,ZABALECAMPA Nº 35
1185,OLARTE KALEA 14 (48903)
1186,ARRAGUA
1187,RETUERTO KALEA 57 (48903)
1188,KAREAGA 63
1189,ERMU
1190,BI-4743
1191,CALLE EL CARMEN Y LA RREA
1192,ZABALENKANPA
1193,C/ LA CONSTANCIA Nº 14
1194,LARRAZABAL 8
1195,CALLE LAS DELICIAS Nº 22 CASA
1196,C/ CONTURRI
1197,PEÑASKUREN 37
1198,-48903
1199,GERNIKAKO ARBOLA 67
1200,KALEA KAREAGA 3A (48903)
1201,JOSÉ BARA Nº 1
1202,CALLE KAREAGA Nº 37
1203,LAS DELICIAS FRENTE AL NÚMERO 5
1204,ERMITA SANTA AGUEDA
1205,RETUERTO KALEA 43 (48903)
1206,CALLE ZUBILETA Nº 68
1207,ERMITA DE SANTA ÁGUEDA
1208,LASESARRE Nº 5
1209,TXAKOLIN KALEA 35 (48903)
1210,LA SIEBE CON LA DINAMITA
1211,LARRAZABAL KALEA
1212,"GOROSTIZA KALEA, 1"
1213,PLAZA DARSENA DE PORTU  (48903)
1214,UGARTEBEITIA 7 (48903)
1215,BO PELAIO DEUNA 3
1216,OCHO SEPTIEMBRE Nº6-3º DERECHA
1217,LLANO KALEA 61 (48903)
1218,URAGA KALEA 20 (48903)
1219,GOROSTIZA Nº 1
1220,LA FAMILIAR Nº 59
1221,AVENIDA ALTOS HORNOS Nº 2
1222,MAGALLANES 23
1223,BASATXU KALEA 43 (48903)
1224,LA DINAMITA 31
1225,AVENIDA LIBERTAD 49-7ºC
1226,AVENIDA ALTOS HORNOS DE VIZCAYA
1227,CALLE BASATXU
1228,LA TORRE
1229,"TURINA KALEA, 2"
1230,"EUSKADI ETORBIDEA, 52"
1231,"GRUPO MENDIA, 9"
1232,ARGALARIO
1233,ZABALENKAMPA 13
1234,C/ ZABALENKAMPA 13
1235,C/ANBIA Nº8
1236,IBERDUERO
1237,ARTEAGABEITIA 3 BIS 4º
1238,ARGALARIO
1239,ARGALARIO
1240,C/ OCHO DE SEPTIEMBRE 12
1241,ZUBILETA 20
1242,C/ GERNIKAKO ARBOLA Nº 44 Y 46
1243,ALDA SERRALTA
1244,"LA SIEBE, 14-2ºB"
1245,"ANAITASUNA KALEA, 1"
1246,BURTZENA Nº 3 4C
1247,C/ ERREKATXU Nº 13
1248,"BABCOCK WILCOX, 4"
1249,UGARTEBEITIA 7
1250,ZUBILETA 72
1251,C/ MESPERUZA Nº 30
1252,CORAZON DE MARÍA Nº 11
1253,SAGASTI 4 5C
1254,"MUNIBE, 3"
1255,RETUERTO Nº 6 5A
1256,MESPERUZA
1257,MESPERUZA
1258,CALLE BUEN PASTOR
1259,CALLE BUEN PASTOR
1260,PARQUE LASESARRE
1261,PARQUE LASESARRE
1262,CL ALEIXANDRE 10
1263,CL LA TORRE 19
1264,GP IBERDUERO 6
1265,CL KONTURRI 18
1266,PE TRUEBA 1
1267,CL FRANCISCO GOMEZ 58-002
1268,CL LANDETA 12
1269,"ARRIAGA, 5"
1270,"MUSURIETA, 31"
1271,SAN TELMO 17
1272,"KURTZIO, 5"
1273,MENDIETA NUM 19
1274,"ARRIAGA, 18"
1275,"CRTA. BARRIKA A SOPELANA,22"
1276,A
1277,A
1278,SAN TELMO AUZOA
1279,"LARRETXE, 2"
1280,AMEZAGA
1281,MUSURIETA
1282,"CR. BARRIKA A SOPELA, 5"
1283,GOIERRI  
1284,MENDIETA
1285,KURTZIO NÚM 4
1286,GARRAMUNE 22
1287,"MENDIETA, 12"
1288,"SAN TELMO, 18"
1289,MUSURIETA
1290,"KURTZIO, 8"
1291,ARRIAGA
1292,"GARRAMUNE, 15"
1293,"GARRAMUNE, 15"
1294,CR. BARRIKA A SOPELA
1295,MUXURIETAS 14
1296,SAN TELMO AUZOA
1297,"KURTZIO, 5"
1298,"LARRETXE, 13"
1299,"UDALETXEKO BIDEA, 5"
1300,"MENDIETA, 3"
1301,"GARRAMUNE, 45"
1302,"PART. DE MENDIETA, 1"
1303,AYUNTAMIENTO ERREPIDEA 12G (48650)
1304,AMEZAGA AUZOA 1 (48650)
1305,"AMEZAGA, 7"
1306,M
1307,"LARRETXE, 8"
1308,GUDARIEN S/N
1309,LEPOLA AUZOA 8 (48650)
1310,"CR. BARRIKA A SOPELANA, 15"
1311,MENDIETA AUZOA 1 (48650)
1312,ZABALANDI AUZOTEGIA Nº 16
1313,ANDALUCÍA N7
1314,BASOZELAI Nº 11
1315,URIARTE 4BIS
1316,LARRAZABAL 
1317,ELEXALDE AUZOA 10  
1318,"URBI 5, 5º DR"
1319,KALE NAGUSIA 61  
1320,AGIRRE LEHENDAKARIA 81 5ºJ
1321,RAMÓN KAREAGA
1322,C/ ASTURIAS 9
1323,KAREAGA GOIKOA. ACCESO RESPIRADEROS MALMASÍN
1324,ZUBIALDEA
1325,AGIRRE LEHENDAKARI 81-5º
1326,GERNIKA N 62
1327,BI-625  (48970)
1328,PLAZA MOJAPARTE
1329,CEMENTERIO BASAURI
1330,SOLOARTE
1331,"URIARTE, 20"
1332,GERNIKA
1333,"ASTURIAS, 22"
1334,CLEMENTE BELTRAN DE HEREDIA 8
1335,LEON 14 - 6º
1336,BIZKOTXALDE PARKEA
1337,BASOZELAI Nº 6
1338,CALLE
1339,JUAN RAMON JIMENEZ 13
1340,KAREAGA GOIKOA 63-3º DCHA
1341,KAREAGA GOIKOA 63-3º IZDA.
1342,URIBARRI
1343,AGUIRRE LEHENDAKARI 97
1344,URIBARRI
1345,UGARTE 11-4º B
1346,LEHENDAKARI AGUIRRE
1347,FINAGA Nº 9
1348,NAGUSIA 9 - 2º IZDA
1349,PAGASARRI
1350,"URBI 5, 5º DR"
1351,UNNAMED ROAD   
1352,ELIZONDO
1353,LUGAR BARRIO ZUBIALDEA 28  
1354,URIARTE 9
1355,BI 712
1356,IBAIGANE KALEA 0 (48970)
1357,BEREZI NAGUSIA
1358,FINAGA 5
1359,URIARTE
1360,POLÍGONO
1361,URIARTE Nº 3
1362,DOCTORES LANDA 58
1363,CERVANTES 49
1364,IRUARETXETA
1365,MONTEFUERTE
1366,"PART. ASTURIAS, 11-13"
1367,AZGANETA KALEA 1 (48970)
1368,KALEA BASOZELAI 74 (48970)
1369,GOIRI AUZOA 386 (48970)
1370,KAREAGA GOIKOA KALEA 38 (48970)
1371,BI-712
1372,URIARTE
1373,MONTEFUERTE
1374,"BASKONIA 16, 3°DCH"
1375,GERNIKA
1376,E-70  (48970)
1377,CATALUÑA 27
1378,IBAIGANE KALEA 2 (48970)
1379,AZBARREN AUZOTEGIA
1380,RAMÓN Y KAREAGA
1381,ZUBIALDEA BARRIO
1382,KAREAGA GOIKOA
1383,"IBARRETA, 1"
1384,IBAIGANE 2
1385,MONTEFUERTE PARKEA
1386,"ELEUTERIO VILLAVERDE, FRENTE Nº 24"
1387,GERNIKA
1388,KARMELO TORRE
1389,IBARRA
1390,ABAROA
1391,BARRIO URIARTE Nº6
1392,RAMON Y KAREAGA
1393,BIDASOA IBAIA
1394,RAMON Y KAREAGA SN CEMENTERIO MUNICIPAL
1395,URIBARRI
1396,RAMON Y KAREAGA  15 - 6º A
1397,BI712-KAREAGA GOIKOA 1
1398,ZUBIALDEA 6
1399,KARMELO TORRE 16 6ºD
1400,NAGUSIA 2
1401,LARRAZABAL
1402,FINAGA
1403,CL MOJAPARTE 13
1404,CL BASOZELAI 13
1405,CL ETXERRE (SEKTOREA) 25-A
1406,AV AGIRRE LEHENDAKARIA 8
1407,CL URIARTE 2
1408,CL ASTURIAS 9
1409,CL URIBARRI 11
1410,CL BASOZELAI 2
1411,CL SEGOVIA 8
1412,CL BEÑAT ETXEPARE 4
1413,ELEXALDE AUZOA 1  
1414,LUGAR BARRIO ELEXALDE 2A  
1415,"BIDEKOETXE AUZOA,13"
1416,MURTATZA AUZOA- ZONA ASTUI
1417,LUGAR BARRIO BIDEKOETXE 10A (48390)
1418,"EROSO UGARTE, 22"
1419,"EROSO-UGARTE, 22"
1420,"MURTATZA, 45"
1421,"UGARTE AUZOA,22"
1422,"MURTATZA,71"
1423,MURTATZA 71
1424,"EROSO-UGARTE,28 -CASERIO UGARTUGANE"
1425,EROSO-UGARTE
1426,MURTATZA AUZOA- ASTUI
1427,LUGAR BARRIO BIDEKOETXE 10A  
1428,BIDEKOETXE AUZOA 9  
1429,LUGAR BARRIO UTXARAIN 6B  
1430,"BARROETA AUZOA,8"
1431,"JAUREGI, 9"
1432,IBARRA AUZOA
1433,MURTATZA AUZOA (ZONA ASTUI)
1434,BIDEKOETXEA
1435,"BIDEKOETXEA,22"
1436,EROSO-UGARTE AUZOA
1437,MURTATZA AUZOA - ZONA GORRI
1438,UTXARAIN AUZOA
1439,UNNAMED ROAD  (48390)
1440,MURTATZA(CAMINO ASTUI)
1441,JAUREGI AUZOA 9
1442,ELEXALDE AUZOA 12 (48390)
1443,BIDEKOLEA
1444,BIDEKOLEA
1445,SUSTATXA BIDEA
1446,LUKATEGI Nº9 
1447,BIDEBARRI 24
1448,ARANA BIDEA 15  
1449,SIMON OTXANDATEGI ETORBIDEA 20  
1450,SIMON OTXANDATEGI ETORBIDEA 22  
1451,EGUZKITZA BIDEA 61  
1452,LARRAÑAZUBI BIDEA 51  
1453,ARANA BIDEA 20  
1454,EGUZKITZA BIDEA 86  
1455,EGUZKITZA BIDEA 65  
1456,BIDEA SUSTATXA 20DUP  
1457,ABAROTXU BIDEA 9 
1458,"BIDEBARRI º12,1 A"
1459,ARENEBURU
1460,SANTANALDE 11
1461,BASOTXU BIDEA 19 - 3 DCH
1462,BASOTXU BIDEA 23 BAJO
1463,ITURRIONDO KALEA Nº 1
1464,GORRONDATXE BIDEA 1 - BAJO C
1465,SARRIENA BIDEA
1466,SIMON OTXANDATEGI ETORBIDEA 9
1467,ATUTZ
1468,UBAO Nº41
1469,CAMINO BASRTE Nº 23
1470,BIDEA UBAO 10  
1471,BIDEA PALAPARRU 8A  
1472,BIDEA ITZA 12CUA  
1473,BIDEA EGUZKITZA BIDEA 26B  
1474,LARRAÑAZUBI Nº53
1475,KURTZE AUZOA
1476,SUSTATXA BIDEA 28  
1477,BIDEA SOPARDA   
1478,UBAO BIDEA 30  
1479,MANTZABE BIDEA 26  
1480,GORRONDATXE BIDEA 20  
1481,C/LANDAIDA Nº5-BAJO-D
1482,SABINO ARANA KALEA 62Y (48640)
1483,LANTZARTE
1484,LARRAÑAZUBI BIDEA 11 (48640)
1485,KURTZES Nº1
1486,SUSTATXA BIDEA 50
1487,GORRONDATXE BIDEA 4 (48640)
1488,ELEXBIDEA BIDEA 6 (48640)
1489,TORREKOLANDA BIDEA 8 (48640)
1490,CASA TORRE Nº 9 SIMON DE OTXANDATEGUI
1491,LOTXARIENA
1492,CALLE MADARIAGA BIDEA 12
1493,SIMON DE OCHANDATEGUI
1494,EGUZKITZA BIDEA 47  
1495,LOTXARIENA BIDEA 5
1496,BIDEA LARRAÑAZUBI 10  
1497,ERROTAONDO 5
1498,C/LOTXARIENA Nº6
1499,URTXUBI BIDEA 25 (48640)
1500,UBAO 
1501,EGUSKITZA
1502,SALSIDUALDE ESTARTA 13 (48991)
1503,GORRONDATXE
1504,URTXUBINº25
1505,URTXUBINº25
1506,KESKENA BIDEA
1507,SIMON OTXANDATEGI ETORBIDEA 9 (48640)
1508,ABAROTXU BIDEA 22 (48640)
1509,SIMON
1510,BIDEA EGUZKITZA BIDEA 105BIS (48640)
1511,ABAROTXU BIDEA 15 (48640)
1512,C/ EUSKALHERRIA Nº33
1513,"AV/ SAN ANTONIO 60, 4ºB"
1514,C/ NAVARRA Nº 26 BJ
1515,"OLETA, N 2, BAJO B"
1516,PEDRO LOBATO ALKATEA
1517,EUSKALHERRIA S/N
1518,CL EUSKAL HERRIA 7
1519,ABAROTXU BIDEA 15 (48640)
1520,BI-3733 82 (48640)
1521,UBAO BIDEA 14 (48640)
1522,KANTINA IBILBIDEA 2 (48640)
1523,ARANA BIDEA 13
1524,ALDAPA KALEA 1
1525,SIMON OTXANDATEGI 65
1526,BASOTXU 44
1527,LANDAIDA GOIKOA 
1528,LUKATEGITXU 12
1529,MANTZABE BIDEA 31
1530,ARMURU BIDEA 2 (48640)
1531,GOIETA KALEA 13
1532,EGUZKITZA BIDEA
1533,LANDAZABAL Nº7
1534,PARQUE ELEXBIDE
1535,PARQUE ELEXBIDE
1536,MANTZABE N 31
1537,MANTZABE 31
1538,SUSTATZA 23
1539,SUSTATXA BIDEA 11
1540,KURTZE KALEA 5 LONJA
1541,KARABIGANE AUZOA 11 - 3DCH
1542,ELEXBIDE 8
1543,"AUREKOETXEA Nº 14 ,BAJ A"
1544,SUSTATXA 10
1545,UBAO N 29
1546,ITURRALDE BIDEA 
1547,SABINO ARANA32
1548,SUSTATXA BIDEA Nº 61
1549,UBAO BIDEA
1550,UBAO BIDEA
1551,ALDAPA Nº 2
1552,BERANGOTXU BIDEA 3
1553,BERANGOTXU Nº37
1554,ELEXALDE 3
1555,SUSTATXA BIDEA 20 (48640)
1556,EGUZKITZA BIDEA 86 (48640)
1557,PALAPARRU S/N
1558,PALAPARRU S/N
